"filename", "language", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\examples\blog\frontend\src\App.vue", "Vue", 17, 0, 0, -1, 2, 18
"d:\examples\blog\frontend\src\api\user\message.js", "JavaScript", 0, 144, 0, 15, 19, 178
"d:\examples\blog\frontend\src\api\user\user.js", "JavaScript", 0, 4, 0, 2, 2, 8
"d:\examples\blog\frontend\src\components\BreadCrumb.vue", "Vue", 3, 0, 0, -1, 0, 2
"d:\examples\blog\frontend\src\components\MenuRenderer.vue", "Vue", 32, 0, 0, 4, 4, 40
"d:\examples\blog\frontend\src\components\ResetPasswordDialog.vue", "Vue", 318, 0, 0, 8, 38, 364
"d:\examples\blog\frontend\src\constants\routes\admin.js", "JavaScript", 0, 1, 0, 0, 0, 1
"d:\examples\blog\frontend\src\constants\routes\user.js", "JavaScript", 0, 5, 0, 1, 0, 6
"d:\examples\blog\frontend\src\main.js", "JavaScript", 0, 11, 0, 2, -2, 11
"d:\examples\blog\frontend\src\router\index.js", "JavaScript", 0, -7, 0, -1, -2, -10
"d:\examples\blog\frontend\src\router\modules\admin.js", "JavaScript", 0, 8, 0, -15, 2, -5
"d:\examples\blog\frontend\src\router\modules\user.js", "JavaScript", 0, 30, 0, -13, 1, 18
"d:\examples\blog\frontend\src\stores\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"d:\examples\blog\frontend\src\stores\modules\message.js", "JavaScript", 0, 54, 0, 3, 8, 65
"d:\examples\blog\frontend\src\stores\modules\setting.js", "JavaScript", 0, 43, 0, 3, 6, 52
"d:\examples\blog\frontend\src\stores\modules\user.js", "JavaScript", 0, -1, 0, 2, 0, 1
"d:\examples\blog\frontend\src\styles\themes.css", "CSS", 0, 0, 54, 8, 13, 75
"d:\examples\blog\frontend\src\utils\menu.js", "JavaScript", 0, 332, 0, 3, 9, 344
"d:\examples\blog\frontend\src\views\comment\user\CommentManage.vue", "Vue", 1, 0, 0, 0, 0, 1
"d:\examples\blog\frontend\src\views\layout\ControlLayout.vue", "Vue", -177, 0, 0, -44, -19, -240
"d:\examples\blog\frontend\src\views\layout\UserLayout.vue", "Vue", -1, 0, 0, 0, 0, -1
"d:\examples\blog\frontend\src\views\layout\admin\AdminLayout.vue", "Vue", 17, 0, 0, 0, 4, 21
"d:\examples\blog\frontend\src\views\layout\admin\ContentLayout.vue", "Vue", 17, 0, 0, 0, 4, 21
"d:\examples\blog\frontend\src\views\layout\admin\UserActivityLayout.vue", "Vue", 17, 0, 0, 0, 4, 21
"d:\examples\blog\frontend\src\views\layout\user\MessageLayout.vue", "Vue", 17, 0, 0, 0, 4, 21
"d:\examples\blog\frontend\src\views\layout\user\ProfileLayout.vue", "Vue", 17, 0, 0, 0, 4, 21
"d:\examples\blog\frontend\src\views\login\LoginPage.vue", "Vue", 96, 0, 0, 23, 15, 134
"d:\examples\blog\frontend\src\views\message\user\ChatWindow.vue", "Vue", 702, 0, 0, 61, 110, 873
"d:\examples\blog\frontend\src\views\message\user\MessageManage.vue", "Vue", 277, 0, 0, 22, 30, 329
"d:\examples\blog\frontend\src\views\report\admin\ReportManage.vue", "Vue", 7, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\user\UserSetting.vue", "Vue", 124, 0, 0, 13, 16, 153
"Total", "-", 1484, 625, 54, 95, 276, 2534
